id	cufflinks_ath_buds_rep1
AT1G09420	5.09158
AT1G09421	2.19823
AT1G09430	39.2768
AT1G09440	14.4065
AT1G09450	7.45657
AT1G09460	33.951
AT1G09470	16.987
AT1G09480	1.46611
AT1G09483	0
AT1G09486	1.14289
AT1G09490	24.8953
AT1G09500	26.6466
AT1G09510	1.18198
AT1G09520	24.4067
AT1G09530	11.1298
AT1G09540	1.54058
AT1G09550	0.0712459
AT1G09560	67.7671
AT1G09570	57.5459
AT1G09575	11.7551
AT1G09580	20.5745
AT1G09590	251.333
AT1G09600	3.29266
AT1G09610	6.80749
AT1G09620	79.8602
AT1G09625	0
AT1G09630	27.2341
AT1G09640	209.912
AT1G09645	29.6448
AT1G09650	1.73859
AT1G09660	23.1555
AT1G09665	0.250071
AT1G09680	3.19115
AT1G09690	485.031
AT1G09700	13.2365
AT1G09710	5.81519
AT1G09720	0.686456
AT1G09730	20.9478
AT1G09740	3.00034
AT1G09750	102.273
AT1G09760	58.2279
AT1G09770	98.9428
AT1G09780	81.8172
AT1G09790	5.50619
AT1G09794	11.7807
AT1G09795	62.9133
AT1G09800	5.72934
AT1G09810	10.8589
AT1G09812	5.60116
AT1G09815	38.2919
AT1G09820	6.14573
AT1G09830	17.7875
AT1G09840	23.9685
AT1G09850	24.134
AT1G09860	0.563869
AT1G09870	26.7629
AT1G09880	4.58323
AT1G09890	1.65576
AT1G09900	19.4711
AT1G09910	15.053
AT1G09920	36.0158
AT1G09930	2.2518
AT1G09932	2.21159
AT1G09935	0
AT1G09940	18.2919
AT1G09950	3.13771
AT1G09960	11.809
AT1G09970	74.6788
AT1G09980	18.9624
AT1G09995	5.96068
AT1G10000	1.59905
AT1G10010	1.7492
AT1G10020	19.9235
AT1G10030	30.2202
AT1G10040	2.4582
AT1G10050	3.19866
AT1G10060	63.2957
AT1G10070	47.6313
AT1G10090	15.6657
AT1G10095	5.15651
AT1G10100	0.77377
AT1G10110	1.48619
AT1G10120	24.1193
AT1G10130	13.9925
AT1G10140	24.433
AT1G10150	20.3823
AT1G10155	0.209648
AT1G10160	1.98647
AT1G10170	24.5712
AT1G10180	22.2137
AT1G10190	0.133366
AT1G10200	137.209
AT1G10210	10.5282
AT1G10220	1.35499
AT1G10230	35.0337
AT1G10240	9.67963
AT1G10250	0
AT1G10260	0
AT1G10270	10.308
AT1G10280	8.07045
AT1G10290	34.7272
AT1G10300	1.03248
AT1G10310	18.2374
AT1G10320	12.1343
AT1G10330	2.33784
AT1G10340	2.84245
AT1G10350	16.9404
AT1G10360	28.7471
AT1G10370	55.375
AT1G10380	7.75434
AT1G10385	2.04293
AT1G10390	41.9153
AT1G10400	0.242655
AT1G10410	38.6411
AT1G10417	0.976351
AT1G10419	0
AT1G10430	23.5062
AT1G10440	0
AT1G10450	15.6495
AT1G10455	1.1523
AT1G10460	0.742398
AT1G10470	22.9507
AT1G10480	0
AT1G10490	12.5188
AT1G10500	83.6443
AT1G10510	18.637
